tweet,sentiment
"Overall, I watched the latest episode .",neutral
Feeling great and positive today #twitter,positive
"Overall, This made my day so much better .",positive
"Today, I absolutely love this product after trying it.",positive
"In my opinion, What a horrible experience today .",negative
"Honestly, The team will meet next week today.",neutral
"In my opinion, This update is terrible right now.",negative
"After trying it, The report was published today today.",neutral
I received the package this morning right now.,neutral
"Today, The service was excellent right now.",positive
Such a beautiful day,positive
"Just saying, I am reading the news right now .",neutral
"Overall, I absolutely hate this product #twitter",negative
"For me, I highly recommend this right now.",positive
"Today, I watched the latest episode after trying it.",neutral
"Just saying, Everything went completely wrong right now.",negative
"After trying it, This movie was fantastic .",positive
"Personally, I am very disappointed with the results #twitter",negative
"Today, Absolutely awful experience .",negative
"Personally, The team did a terrible job .",negative
Best purchase I have made in a long time right now.,positive
"Personally, The product is available in three colors .",neutral
"After trying it, The team did a terrible job .",negative
"Just saying, I watched the latest episode .",neutral
"Just saying, The package contains two items in my opinion.",neutral
"Right now, I am checking the latest information right now.",neutral
"Honestly, The report was published today .",neutral
"Honestly, I am reading the news right now .",neutral
"Just saying, The train arrived at the station in my opinion.",neutral
The report was published today honestly.,neutral
"Honestly, This is terrible and does not work in my opinion.",negative
The meeting is scheduled for tomorrow .,neutral
"Honestly, I am checking the latest information .",neutral
"Personally, I received the package this morning .",neutral
"Personally, The flight is scheduled for Monday .",neutral
"In my opinion, This update is awesome",positive
The team did a terrible job .,negative
"In my opinion, I am impressed with the quality honestly.",positive
The meeting is scheduled for tomorrow .,neutral
"For me, I am impressed with the quality .",positive
"Just saying, I highly recommend this .",positive
"Right now, I am reading the news right now .",neutral
"In my opinion, The package contains two items .",neutral
"For me, Absolutely fantastic experience .",positive
"Right now, Such a horrible day .",negative
"Personally, I am checking the latest information .",neutral
"Overall, The service was awful #twitter",negative
"Just saying, Everything worked perfectly .",positive
"Just saying, The report was published today .",neutral
"Right now, The train arrived at the station right now.",neutral
"Just saying, Everything went completely wrong .",negative
"Today, I would not recommend this #review",negative
This update is terrible .,negative
"Personally, This movie was fantastic right now.",positive
"In my opinion, This movie was extremely boring .",negative
"Overall, This is not what I wanted right now.",negative
"For me, I am checking the latest information .",neutral
I really enjoyed this experience in my opinion.,positive
"Just saying, The team will meet next week #twitter",neutral
"Just saying, The temperature is around 25 degrees after trying it.",neutral
"Right now, The website is currently available #review",neutral
"In my opinion, I am checking the latest information",neutral
"Today, I am disappointed with the quality after trying it.",negative
"Honestly, I am disappointed with the quality honestly.",negative
"For me, I am checking the latest information in my opinion.",neutral
"After trying it, Feeling great and positive today in my opinion.",positive
"Honestly, The product is available in three colors #review",neutral
The product is available in three colors .,neutral
"Today, The service was excellent honestly.",positive
"Personally, Feeling frustrated and disappointed today .",negative
"Right now, I highly recommend this after trying it.",positive
"Just saying, I am very disappointed with the results .",negative
"In my opinion, I am satisfied with the results .",positive
"Honestly, I received the package this morning #twitter",neutral
"Right now, What a horrible experience today after trying it.",negative
"Right now, The train arrived at the station #review",neutral
"After trying it, I am disappointed with the quality #twitter",negative
"Just saying, I really disliked this experience .",negative
"Honestly, Absolutely fantastic experience .",positive
"Overall, The service was awful",negative
"Honestly, This is not what I wanted #review",negative
"In my opinion, I absolutely hate this product honestly.",negative
"Right now, The package contains two items .",neutral
"Overall, This is terrible and does not work .",negative
"Overall, Everything went completely wrong .",negative
"Personally, I am satisfied with the results .",positive
"In my opinion, This update is terrible .",negative
"Today, I highly recommend this after trying it.",positive
"Honestly, The team did an amazing job .",positive
"For me, Everything worked perfectly .",positive
"Honestly, The temperature is around 25 degrees .",neutral
"Right now, Everything worked perfectly after trying it.",positive
"Honestly, Such a beautiful day right now.",positive
This is amazing and works perfectly #review,positive
"For me, I am reading the news right now .",neutral
"Honestly, The weather is cloudy today",neutral
"For me, Best purchase I have made in a long time .",positive
"Today, This is not what I wanted right now.",negative
The team did a terrible job #review,negative
The meeting is scheduled for tomorrow .,neutral
"Overall, I would not recommend this #twitter",negative
Such a horrible day in my opinion.,negative
"Personally, I am very happy with the results",positive
"In my opinion, This movie was fantastic .",positive
"After trying it, The website is currently available .",neutral
"Personally, Feeling frustrated and disappointed today .",negative
"After trying it, The company released a new announcement .",neutral
"Overall, The results will be announced later honestly.",neutral
"After trying it, Such a beautiful day right now.",positive
"In my opinion, I would not recommend this in my opinion.",negative
The new features are brilliant honestly.,positive
I am unhappy with the results #review,negative
"For me, This movie was fantastic honestly.",positive
Worst purchase I have made in my opinion.,negative
This is not what I wanted .,negative
"Personally, The service was excellent in my opinion.",positive
"In my opinion, The team will meet next week .",neutral
"Overall, The package contains two items .",neutral
"Just saying, Best purchase I have made in a long time",positive
"After trying it, What a horrible experience today .",negative
"For me, The package contains two items",neutral
"Personally, Feeling great and positive today #twitter",positive
"Just saying, I am disappointed with the quality .",negative
"For me, The team will meet next week",neutral
"After trying it, I am very disappointed with the results .",negative
"After trying it, Absolutely fantastic experience today.",positive
"Just saying, Such a beautiful day .",positive
"Honestly, The package contains two items #twitter",neutral
"After trying it, Such a horrible day",negative
"In my opinion, Worst purchase I have made .",negative
"Today, This is exactly what I wanted .",positive
I watched the latest episode .,neutral
"Today, I am very happy with the results .",positive
The service was excellent .,positive
"After trying it, The team will meet next week",neutral
"Right now, I absolutely love this product .",positive
"Right now, I am very happy with the results .",positive
I am checking the latest information,neutral
"Personally, I absolutely hate this product .",negative
The team did a terrible job after trying it.,negative
"Today, The new features are useless .",negative
What a wonderful experience today .,positive
"Overall, I am disappointed with the quality .",negative
"Today, The product is available in three colors #review",neutral
"After trying it, The service was awful .",negative
"Overall, I would not recommend this after trying it.",negative
"Just saying, Absolutely awful experience in my opinion.",negative
"Just saying, This is not what I wanted .",negative
"Today, I absolutely love this product .",positive
The service was awful .,negative
This update is awesome .,positive
The company released a new announcement #twitter,neutral
"Just saying, I am unhappy with the results today.",negative
The company released a new announcement #twitter,neutral
"For me, What a wonderful experience today .",positive
"Overall, I would not recommend this .",negative
"Honestly, The meeting is scheduled for tomorrow after trying it.",neutral
"For me, I am very disappointed with the results #review",negative
"Honestly, This is exactly what I wanted .",positive
"Today, The flight is scheduled for Monday .",neutral
"For me, I would not recommend this .",negative
"Personally, The team did a terrible job in my opinion.",negative
"For me, This is amazing and works perfectly .",positive
"For me, The service was awful .",negative
"For me, The team did an amazing job .",positive
"In my opinion, What a horrible experience today after trying it.",negative
"For me, The new features are brilliant .",positive
I highly recommend this right now.,positive
"Today, This update is awesome .",positive
"Today, I really enjoyed this experience honestly.",positive
"Today, I am very disappointed with the results #twitter",negative
"Just saying, I watched the latest episode",neutral
"Honestly, The service was excellent #review",positive
What a wonderful experience today in my opinion.,positive
"Personally, I absolutely love this product .",positive
"Today, I am disappointed with the quality #review",negative
"Just saying, This is exactly what I wanted .",positive
I really disliked this experience #review,negative
"Personally, I am unhappy with the results .",negative
"Overall, I watched the latest episode .",neutral
"Personally, The report was published today after trying it.",neutral
"Just saying, I watched the latest episode .",neutral
"After trying it, The service was excellent #twitter",positive
"Honestly, The service was awful .",negative
"In my opinion, The class begins at 10 AM right now.",neutral
"For me, I really disliked this experience",negative
"Today, Everything worked perfectly in my opinion.",positive
"After trying it, I am impressed with the quality right now.",positive
"For me, Such a beautiful day .",positive
"After trying it, Worst purchase I have made honestly.",negative
"In my opinion, I absolutely hate this product today.",negative
"Overall, I highly recommend this .",positive
"In my opinion, Worst purchase I have made after trying it.",negative
"Today, Everything went completely wrong right now.",negative
"Right now, This made my day much worse #twitter",negative
"Today, The new features are brilliant .",positive
"Overall, This update is awesome",positive
This update is awesome .,positive
"Right now, This is terrible and does not work in my opinion.",negative
"For me, I am impressed with the quality .",positive
"Honestly, I am reading the news right now .",neutral
"Personally, The store opens at 9 AM .",neutral
"After trying it, I absolutely hate this product today.",negative
"Just saying, The flight is scheduled for Monday honestly.",neutral
The weather is cloudy today #twitter,neutral
"In my opinion, What a horrible experience today .",negative
The website is currently available #review,neutral
"Honestly, The weather is cloudy today right now.",neutral
"After trying it, I really enjoyed this experience after trying it.",positive
"In my opinion, The weather is cloudy today today.",neutral
"Personally, Absolutely awful experience after trying it.",negative
"In my opinion, What a wonderful experience today today.",positive
"Right now, The event starts at 6 PM honestly.",neutral
"Just saying, Best purchase I have made in a long time today.",positive
"Right now, The website is currently available .",neutral
"Personally, I absolutely love this product honestly.",positive
"Honestly, The team did an amazing job .",positive
"After trying it, I absolutely love this product #review",positive
"Just saying, What a wonderful experience today in my opinion.",positive
"Honestly, The train arrived at the station right now.",neutral
"Overall, This is amazing and works perfectly right now.",positive
"For me, I am unhappy with the results in my opinion.",negative
"Personally, The new features are brilliant #review",positive
"Honestly, I am very happy with the results today.",positive
"After trying it, I am checking the latest information .",neutral
"Honestly, The report was published today in my opinion.",neutral
"Honestly, Feeling great and positive today",positive
"Personally, The application has been updated right now.",neutral
"In my opinion, Best purchase I have made in a long time right now.",positive
"Personally, This is exactly what I wanted right now.",positive
"Overall, This is terrible and does not work .",negative
"For me, I am impressed with the quality .",positive
"In my opinion, The new features are useless",negative
"For me, Feeling frustrated and disappointed today right now.",negative
"Personally, The product is available in three colors today.",neutral
"Right now, Feeling frustrated and disappointed today right now.",negative
"Honestly, The package contains two items right now.",neutral
"For me, This is amazing and works perfectly #twitter",positive
"Overall, Feeling frustrated and disappointed today .",negative
Everything went completely wrong #review,negative
"Just saying, The team will meet next week .",neutral
"In my opinion, I am disappointed with the quality .",negative
"Honestly, The train arrived at the station .",neutral
"Just saying, Best purchase I have made in a long time in my opinion.",positive
"After trying it, I really enjoyed this experience .",positive
"In my opinion, This is not what I wanted today.",negative
"Just saying, The temperature is around 25 degrees #twitter",neutral
"Honestly, I am unhappy with the results after trying it.",negative
I am unhappy with the results .,negative
"Personally, The report was published today in my opinion.",neutral
"In my opinion, I am very happy with the results .",positive
"For me, This update is awesome .",positive
"Just saying, I watched the latest episode .",neutral
"For me, I absolutely hate this product today.",negative
"Just saying, I absolutely love this product #twitter",positive
"Just saying, The store opens at 9 AM .",neutral
"For me, Feeling frustrated and disappointed today #review",negative
"Personally, Feeling great and positive today .",positive
"Today, The train arrived at the station .",neutral
The flight is scheduled for Monday .,neutral
"Just saying, The temperature is around 25 degrees .",neutral
I am impressed with the quality,positive
"Right now, The weather is cloudy today .",neutral
"Today, The application has been updated #review",neutral
"Honestly, This movie was extremely boring right now.",negative
"Right now, Feeling frustrated and disappointed today after trying it.",negative
"After trying it, The store opens at 9 AM in my opinion.",neutral
"Personally, The temperature is around 25 degrees .",neutral
"Today, I am disappointed with the quality #review",negative
"For me, The website is currently available today.",neutral
"Just saying, The event starts at 6 PM .",neutral
"Personally, This is amazing and works perfectly #twitter",positive
"Honestly, I am checking the latest information",neutral
"Right now, Everything went completely wrong after trying it.",negative
"After trying it, I really enjoyed this experience right now.",positive
"After trying it, Feeling frustrated and disappointed today in my opinion.",negative
"Today, This is exactly what I wanted .",positive
"Right now, The website is currently available .",neutral
"Right now, Absolutely awful experience .",negative
Everything went completely wrong right now.,negative
"Just saying, The report was published today .",neutral
"Just saying, Best purchase I have made in a long time honestly.",positive
Feeling frustrated and disappointed today .,negative
"Right now, I am checking the latest information today.",neutral
"After trying it, The new features are brilliant today.",positive
"In my opinion, The train arrived at the station #twitter",neutral
"Right now, What a wonderful experience today right now.",positive
"Honestly, The new features are brilliant #twitter",positive
"Honestly, The product is available in three colors .",neutral
"Overall, Feeling great and positive today .",positive
"Honestly, The company released a new announcement .",neutral
"Overall, I am impressed with the quality .",positive
"Honestly, Such a beautiful day .",positive
"For me, The meeting is scheduled for tomorrow .",neutral
"Right now, The product is available in three colors in my opinion.",neutral
This is terrible and does not work #twitter,negative
"Right now, I watched the latest episode",neutral
"Just saying, Worst purchase I have made .",negative
"Just saying, Worst purchase I have made .",negative
"For me, The product is available in three colors today.",neutral
"Personally, I am very happy with the results .",positive
"Just saying, I am satisfied with the results .",positive
"Right now, The company released a new announcement .",neutral
"In my opinion, This is not what I wanted honestly.",negative
"For me, I watched the latest episode after trying it.",neutral
"In my opinion, This movie was fantastic .",positive
"For me, I watched the latest episode .",neutral
"Personally, Feeling frustrated and disappointed today .",negative
"Today, The team did an amazing job in my opinion.",positive
"For me, The team did an amazing job",positive
"For me, The application has been updated .",neutral
The temperature is around 25 degrees .,neutral
"Right now, What a horrible experience today in my opinion.",negative
"For me, The report was published today .",neutral
"Personally, The report was published today .",neutral
This is amazing and works perfectly .,positive
"Just saying, The flight is scheduled for Monday #review",neutral
"Just saying, The class begins at 10 AM .",neutral
"Personally, I received the package this morning .",neutral
"Just saying, Absolutely fantastic experience .",positive
What a wonderful experience today .,positive
"Honestly, The application has been updated .",neutral
"Today, I absolutely love this product .",positive
"Right now, Everything went completely wrong .",negative
"After trying it, The company released a new announcement .",neutral
"Personally, This made my day much worse .",negative
"Overall, The new features are brilliant .",positive
"Honestly, I am reading the news right now #review",neutral
"After trying it, Everything went completely wrong after trying it.",negative
"Right now, The team did an amazing job after trying it.",positive
"Today, Feeling great and positive today #twitter",positive
"Today, This movie was extremely boring .",negative
"Honestly, I am satisfied with the results right now.",positive
"Overall, The train arrived at the station right now.",neutral
"For me, The team did a terrible job #review",negative
"In my opinion, The results will be announced later .",neutral
"Personally, This is exactly what I wanted in my opinion.",positive
"For me, I am unhappy with the results .",negative
"Right now, The service was excellent .",positive
"In my opinion, The flight is scheduled for Monday",neutral
"After trying it, I am very disappointed with the results #twitter",negative
"After trying it, The service was excellent right now.",positive
"Honestly, The meeting is scheduled for tomorrow .",neutral
"Honestly, I am checking the latest information .",neutral
"Honestly, Such a horrible day #twitter",negative
"Right now, The class begins at 10 AM .",neutral
"In my opinion, The results will be announced later .",neutral
"Personally, This made my day much worse .",negative
"In my opinion, The flight is scheduled for Monday today.",neutral
"Honestly, The report was published today right now.",neutral
"Honestly, I highly recommend this after trying it.",positive
"Honestly, What a wonderful experience today right now.",positive
"Today, The weather is cloudy today #twitter",neutral
"After trying it, The team did an amazing job .",positive
"After trying it, Absolutely fantastic experience .",positive
"Just saying, I am unhappy with the results honestly.",negative
"For me, The results will be announced later in my opinion.",neutral
"Honestly, Worst purchase I have made .",negative
"Honestly, The meeting is scheduled for tomorrow .",neutral
"Just saying, I am reading the news right now .",neutral
"For me, The new features are useless today.",negative
"Right now, I really enjoyed this experience honestly.",positive
"Right now, The meeting is scheduled for tomorrow honestly.",neutral
"Personally, The service was awful .",negative
"Right now, The new features are useless .",negative
"For me, This update is awesome .",positive
"Just saying, The store opens at 9 AM .",neutral
"Personally, The new features are brilliant .",positive
"Right now, I really enjoyed this experience today.",positive
"Right now, I am unhappy with the results today.",negative
The class begins at 10 AM #review,neutral
"After trying it, The company released a new announcement",neutral
"In my opinion, The new features are brilliant honestly.",positive
"Today, I absolutely love this product #review",positive
This update is awesome .,positive
"Today, This update is awesome .",positive
"Just saying, The meeting is scheduled for tomorrow honestly.",neutral
"After trying it, The company released a new announcement .",neutral
"After trying it, This movie was extremely boring after trying it.",negative
"Today, Everything went completely wrong .",negative
"Personally, I received the package this morning after trying it.",neutral
"Just saying, This update is awesome .",positive
"After trying it, The meeting is scheduled for tomorrow",neutral
"Just saying, I absolutely love this product .",positive
"After trying it, This movie was extremely boring right now.",negative
"After trying it, Everything worked perfectly",positive
"Honestly, The train arrived at the station",neutral
"Personally, The store opens at 9 AM in my opinion.",neutral
"Honestly, The team did an amazing job honestly.",positive
"Honestly, The team did a terrible job #twitter",negative
"In my opinion, The service was excellent .",positive
"For me, The new features are brilliant right now.",positive
"Just saying, I would not recommend this .",negative
"Personally, The class begins at 10 AM .",neutral
"Overall, I really disliked this experience .",negative
"Today, The new features are useless .",negative
"Personally, The train arrived at the station right now.",neutral
"Overall, I really disliked this experience .",negative
"Honestly, I watched the latest episode .",neutral
"For me, I watched the latest episode .",neutral
"Today, The new features are useless",negative
"Honestly, The temperature is around 25 degrees .",neutral
"Right now, The team did an amazing job today.",positive
Feeling frustrated and disappointed today right now.,negative
"Overall, The new features are useless #twitter",negative
"After trying it, The flight is scheduled for Monday .",neutral
I really enjoyed this experience #review,positive
"Honestly, This movie was extremely boring .",negative
"Right now, Such a beautiful day #twitter",positive
The new features are useless .,negative
"Right now, Such a horrible day .",negative
The flight is scheduled for Monday .,neutral
"Personally, I am very disappointed with the results in my opinion.",negative
"For me, The class begins at 10 AM in my opinion.",neutral
"Just saying, I really enjoyed this experience after trying it.",positive
"After trying it, Worst purchase I have made right now.",negative
"After trying it, Absolutely awful experience #twitter",negative
"Honestly, I received the package this morning .",neutral
"Just saying, I am checking the latest information .",neutral
"In my opinion, What a horrible experience today #review",negative
"Right now, The package contains two items .",neutral
"For me, I am very happy with the results in my opinion.",positive
"For me, What a wonderful experience today .",positive
"Today, I would not recommend this today.",negative
"In my opinion, Such a horrible day .",negative
"Honestly, I am unhappy with the results .",negative
"Personally, Feeling frustrated and disappointed today .",negative
"For me, This update is awesome right now.",positive
"Honestly, I watched the latest episode .",neutral
"In my opinion, This update is awesome .",positive
Feeling great and positive today .,positive
"Personally, The results will be announced later today.",neutral
"Overall, Everything worked perfectly #review",positive
I am satisfied with the results #twitter,positive
"In my opinion, I highly recommend this honestly.",positive
"After trying it, The service was excellent #review",positive
"Personally, Absolutely awful experience .",negative
Absolutely fantastic experience honestly.,positive
"Right now, The results will be announced later honestly.",neutral
"Just saying, Such a beautiful day .",positive
"In my opinion, The weather is cloudy today #review",neutral
"Right now, This update is terrible .",negative
"For me, The package contains two items today.",neutral
"Overall, This is terrible and does not work .",negative
"In my opinion, The service was excellent",positive
The train arrived at the station .,neutral
"After trying it, The team did a terrible job right now.",negative
"Overall, The store opens at 9 AM .",neutral
"After trying it, I am checking the latest information honestly.",neutral
"Today, I am unhappy with the results .",negative
"Today, The team will meet next week today.",neutral
The temperature is around 25 degrees .,neutral
"After trying it, This is not what I wanted .",negative
"In my opinion, I really disliked this experience in my opinion.",negative
"In my opinion, This made my day so much better .",positive
"In my opinion, I am very happy with the results honestly.",positive
"Right now, Everything worked perfectly right now.",positive
"For me, Feeling great and positive today #review",positive
"In my opinion, The flight is scheduled for Monday honestly.",neutral
"Just saying, I absolutely love this product in my opinion.",positive
Absolutely awful experience .,negative
"Overall, The flight is scheduled for Monday #review",neutral
"For me, The train arrived at the station today.",neutral
"For me, I received the package this morning honestly.",neutral
"For me, I really enjoyed this experience .",positive
"In my opinion, I watched the latest episode right now.",neutral
"After trying it, Absolutely fantastic experience #twitter",positive
"Honestly, The meeting is scheduled for tomorrow honestly.",neutral
"In my opinion, I would not recommend this .",negative
"Just saying, The team did an amazing job right now.",positive
"Honestly, This movie was fantastic",positive
"For me, The product is available in three colors right now.",neutral
"Just saying, The team did a terrible job today.",negative
"Right now, Best purchase I have made in a long time honestly.",positive
"Personally, Such a beautiful day .",positive
"Today, This made my day so much better honestly.",positive
"Right now, This update is terrible #review",negative
"In my opinion, I am disappointed with the quality after trying it.",negative
"Just saying, The new features are brilliant right now.",positive
I watched the latest episode in my opinion.,neutral
"Personally, I am disappointed with the quality .",negative
I received the package this morning .,neutral
"In my opinion, I received the package this morning today.",neutral
"Honestly, Such a horrible day .",negative
"For me, This is exactly what I wanted .",positive
"Overall, Feeling great and positive today .",positive
"Right now, This is amazing and works perfectly right now.",positive
"After trying it, The team did a terrible job #review",negative
"Today, I am very happy with the results .",positive
"Overall, I would not recommend this .",negative
"Right now, The team will meet next week .",neutral
"Just saying, I received the package this morning .",neutral
"Today, The team will meet next week .",neutral
"Today, What a wonderful experience today .",positive
"For me, I absolutely love this product in my opinion.",positive
"In my opinion, This made my day so much better today.",positive
"Overall, Everything worked perfectly in my opinion.",positive
"In my opinion, This made my day much worse .",negative
I received the package this morning,neutral
"Just saying, The team did an amazing job #twitter",positive
"In my opinion, The company released a new announcement .",neutral
"After trying it, I really disliked this experience",negative
I am satisfied with the results honestly.,positive
"After trying it, Worst purchase I have made",negative
"Personally, Everything worked perfectly .",positive
"Honestly, I would not recommend this #twitter",negative
"Today, I am disappointed with the quality .",negative
"Overall, I watched the latest episode .",neutral
"For me, What a horrible experience today .",negative
"Overall, The service was excellent .",positive
"Just saying, The weather is cloudy today right now.",neutral
"Right now, I really enjoyed this experience .",positive
"After trying it, The team did a terrible job .",negative
"Overall, I received the package this morning .",neutral
